task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
123	26/8d1b1e	2773637	pipeline:collectFilesInDir (2)	COMPLETED	0	2026-03-18 23:31:59.974	259ms	2ms	0.0%	0	0	67.8 KB	200 B
122	7b/b30cc9	2773620	pipeline:collectFilesInDir (1)	COMPLETED	0	2026-03-18 23:31:59.964	284ms	2ms	0.0%	0	0	67.8 KB	200 B
113	4b/76c700	2772268	pipeline:deNovoPipeline_spoa:alignPolished (5)	COMPLETED	0	2026-03-18 23:31:59.693	620ms	377ms	262.0%	11.7 MB	247.6 MB	22.6 MB	18.1 MB
125	66/26fb3d	2773850	pipeline:collectFilesInDir (4)	COMPLETED	0	2026-03-18 23:32:00.028	323ms	2ms	0.0%	0	0	67.8 KB	200 B
124	3d/565d88	2773740	pipeline:collectFilesInDir (3)	COMPLETED	0	2026-03-18 23:31:59.994	391ms	2ms	0.0%	0	0	67.8 KB	200 B
126	4e/b85933	2774522	pipeline:collectFilesInDir (5)	COMPLETED	0	2026-03-18 23:32:00.177	255ms	2ms	0.0%	0	0	67.8 KB	200 B
127	fa/6d07d1	2774559	pipeline:collectFilesInDir (6)	COMPLETED	0	2026-03-18 23:32:00.188	292ms	3ms	0.0%	0	0	67.8 KB	200 B
128	51/a35616	2774790	pipeline:collectFilesInDir (7)	COMPLETED	0	2026-03-18 23:32:00.238	261ms	3ms	0.0%	0	0	67.8 KB	200 B
130	59/5d9d8a	2775106	pipeline:deNovoPipeline_spoa:mosdepthWindows (5)	COMPLETED	0	2026-03-18 23:32:00.322	290ms	21ms	125.0%	2.9 MB	3.8 MB	5.2 MB	31 KB
129	2b/3b81e7	2775093	pipeline:deNovoPipeline_spoa:bamstatsPolished (5)	COMPLETED	0	2026-03-18 23:32:00.319	441ms	182ms	105.3%	37 MB	452.9 MB	4.9 MB	610.2 KB
131	99/95befd	2775882	pipeline:collectFilesInDir (8)	COMPLETED	0	2026-03-18 23:32:00.767	178ms	2ms	0.0%	0	0	67.8 KB	200 B
132	44/47ce93	2775888	pipeline:catFastqIntoFasta	COMPLETED	0	2026-03-18 23:32:00.770	185ms	16ms	52.6%	24.8 MB	1.2 GB	173.3 KB	56.5 KB
134	f0/c8d40e	2776349	publish (1)	COMPLETED	0	2026-03-18 23:32:00.969	247ms	2ms	0.0%	0	0	61.9 KB	200 B
143	e3/084338	2776390	publish (10)	COMPLETED	0	2026-03-18 23:32:00.973	277ms	2ms	0.0%	0	0	61.9 KB	200 B
139	fc/ffe4c9	2776345	publish (6)	COMPLETED	0	2026-03-18 23:32:00.967	349ms	4ms	0.0%	0	0	61.9 KB	200 B
141	c4/4003ef	2776332	publish (8)	COMPLETED	0	2026-03-18 23:32:00.964	370ms	2ms	0.0%	0	0	61.9 KB	200 B
140	93/4d7eaf	2776372	publish (7)	COMPLETED	0	2026-03-18 23:32:00.971	388ms	4ms	0.0%	0	0	61.9 KB	200 B
142	31/f06549	2776449	publish (9)	COMPLETED	0	2026-03-18 23:32:00.979	406ms	3ms	0.0%	0	0	61.9 KB	200 B
144	bf/b8198d	2776512	publish (11)	COMPLETED	0	2026-03-18 23:32:00.985	426ms	2ms	0.0%	0	0	61.9 KB	200 B
137	22/360d9a	2776477	publish (4)	COMPLETED	0	2026-03-18 23:32:00.982	452ms	2ms	0.0%	0	0	61.9 KB	200 B
